assessment_name,url
hipo-unlocking-potential-report-2-0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/
housekeeping-new,https://www.shl.com/products/product-catalog/view/housekeeping-new/
htmlcss-new,https://www.shl.com/products/product-catalog/view/htmlcss-new/
html5-new,https://www.shl.com/products/product-catalog/view/html5-new/
human-resources-new,https://www.shl.com/products/product-catalog/view/human-resources-new/
ibm-datastage-new,https://www.shl.com/products/product-catalog/view/ibm-datastage-new/
ibm-sterling-order-management-system-new,https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/
industrial-engineering-new,https://www.shl.com/products/product-catalog/view/industrial-engineering-new/
informatica-architecture-new,https://www.shl.com/products/product-catalog/view/informatica-architecture-new/
informatica-developer-new,https://www.shl.com/products/product-catalog/view/informatica-developer-new/
instrumentation-engineering-new,https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/
interpersonal-communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/
interviewing-and-hiring-concepts-u-s,https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/
ios-development-new,https://www.shl.com/products/product-catalog/view/ios-development-new/
itil-it-infrastructure-library-new,https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/
java-2-platform-enterprise-edition-1-4-fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/
java-8-new,https://www.shl.com/products/product-catalog/view/java-8-new/
java-design-patterns-new,https://www.shl.com/products/product-catalog/view/java-design-patterns-new/
java-frameworks-new,https://www.shl.com/products/product-catalog/view/java-frameworks-new/
java-platform-enterprise-edition-7-java-ee-7,https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/
java-web-services-new,https://www.shl.com/products/product-catalog/view/java-web-services-new/
javascript-new,https://www.shl.com/products/product-catalog/view/javascript-new/
jenkins-new,https://www.shl.com/products/product-catalog/view/jenkins-new/
job-control-language-new,https://www.shl.com/products/product-catalog/view/job-control-language-new/
jquery-new,https://www.shl.com/products/product-catalog/view/jquery-new/
kubernetes-new,https://www.shl.com/products/product-catalog/view/kubernetes-new/
linux-administration-new,https://www.shl.com/products/product-catalog/view/linux-administration-new/
linux-operating-system,https://www.shl.com/products/product-catalog/view/linux-operating-system/
linux-programming-general,https://www.shl.com/products/product-catalog/view/linux-programming-general/
load-runner-new,https://www.shl.com/products/product-catalog/view/load-runner-new/
management-scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/
managerial-scenarios-candidate-report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/
managerial-scenarios-narrative-report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/
managerial-scenarios-profile-report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/
manual-testing-new,https://www.shl.com/products/product-catalog/view/manual-testing-new/
mechanical-and-vigilance-focus-8-0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/
safety-and-dependability-focus-8-0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/
essential-focus-8-0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/
mechanical-focus-8-0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/
vigilance-focus-8-0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/
marketing-new,https://www.shl.com/products/product-catalog/view/marketing-new/
maven-new,https://www.shl.com/products/product-catalog/view/maven-new/
mechanical-engineering-new,https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/
mechatronics-engineering-new,https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/
medical-terminology-new,https://www.shl.com/products/product-catalog/view/medical-terminology-new/
metallurgical-engineering-new,https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/
mfs-360-enterprise-leadership-report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/
mfs-360-ucf-group-report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/
mfs-360-ucf-performance-potential-dev-tips-report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/
mfs-360-ucf-standard-report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/
micro-focus-unified-functional-testing-new,https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/
microservices-new,https://www.shl.com/products/product-catalog/view/microservices-new/
microsoft-dynamics-development-new,https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/
microsoft-excel-365-essentials-new,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/
microsoft-excel-365-new,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/
microsoft-outlook-2013-adaptive,https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/
microsoft-powerpoint-365-essentials-new,https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/
microsoft-sql-server-2014-programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/
microsoft-windows-server-2012-administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/
microsoft-word-365-essentials-new,https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/
microsoft-word-365-new,https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/
mineral-engineering-new,https://www.shl.com/products/product-catalog/view/mineral-engineering-new/
mining-engineering-new,https://www.shl.com/products/product-catalog/view/mining-engineering-new/
mobility-new,https://www.shl.com/products/product-catalog/view/mobility-new/
molecular-biology-new,https://www.shl.com/products/product-catalog/view/molecular-biology-new/
mongodb-new,https://www.shl.com/products/product-catalog/view/mongodb-new/
motivation-questionnaire-mqm5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/
mq-candidate-motivation-report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/
mq-employee-motivation-report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/
